,Comm,Consumer,Energy,Financials,Healthcare,Industrials,Materials,RealEstate,Tech,Utilities
2020-01-01,,,,,,,,,,
2020-01-02,,,,,,,,,,
2020-01-03,,,,,,,,,,
2020-01-04,,,,,,,,,,
2020-01-05,,,,,,,,,,
2020-01-06,,,,,,,,,,
2020-01-07,,,,,,,,,,
2020-01-08,,,,,,,,,,
2020-01-09,,,,,,,,,,
2020-01-10,,,,,,,,,,
2020-01-11,,,,,,,,,,
2020-01-12,,,,,,,,,,
2020-01-13,,,,,,,,,,
2020-01-14,,,,,,,,,,
2020-01-15,,,,,,,,,,
2020-01-16,,,,,,,,,,
2020-01-17,,,,,,,,,,
2020-01-18,,,,,,,,,,
2020-01-19,,,,,,,,,,
2020-01-20,,,,,,,,,,
2020-01-21,,,,,,,,,,
2020-01-22,,,,,,,,,,
2020-01-23,,,,,,,,,,
2020-01-24,,,,,,,,,,
2020-01-25,,,,,,,,,,
2020-01-26,,,,,,,,,,
2020-01-27,,,,,,,,,,
2020-01-28,,,,,,,,,,
2020-01-29,,,,,,,,,,
2020-01-30,,,,,,,,,,
2020-01-31,,-0.39886803607328075,0.1144266624318366,-0.7516106486535317,-0.39141493935708654,,,-0.25116489742658865,,
2020-02-01,-1.493346498839523,-0.2437801406446185,0.007204844129587169,-0.8082925121073095,-0.21199557045655174,-0.32416874525681133,-0.43538314822007784,0.31623945361834893,-0.9997163534729722,0.16657968975691925
2020-02-02,-0.5160767622688264,-0.5585104532090289,0.49866121436282285,-0.8194244295304932,-1.1147568039878235,-0.32134271323723296,-1.3569060294181914,0.4972972693866913,0.15464569806084133,0.1316296353679686
2020-02-03,-0.2996906385685843,0.1827069338557864,0.5308151186167326,-0.7003140120206874,-1.2130159189299539,-0.7295627616518514,-0.9312509070615268,0.18125913051454878,-0.20825362578218318,0.11948380891162813
2020-02-04,-0.14652052301039528,0.2987281870123195,0.29278487425197025,-0.474952225432345,-0.9525487233622917,-0.5001729857676677,-0.4262370636180532,0.16034044866922775,-0.34251560738529296,0.16058444527330973
