ticker,sector
ABBV,Healthcare
ABT,Healthcare
ADBE,Tech
AEP,Utilities
AMD,Tech
AMGN,Healthcare
AMT,RealEstate
BA,Industrials
CAT,Industrials
CCI,RealEstate
CMCSA,Comm
COP,Energy
CVX,Energy
D,Utilities
DD,Materials
DIS,Consumer
DOW,Materials
DUK,Utilities
EA,Comm
GE,Industrials
GILD,Healthcare
GS,Financials
INTC,Tech
KO,Consumer
MMM,Industrials
MRK,Healthcare
MS,Financials
NEE,Utilities
NEM,Materials
NKE,Consumer
NUE,Materials
NVDA,Tech
O,RealEstate
OXY,Energy
PLD,RealEstate
PSA,RealEstate
QCOM,Tech
SBUX,Consumer
SHW,Materials
SLB,Energy
SO,Utilities
T,Comm
TMUS,Comm
TTWO,Comm
UPS,Industrials
USB,Financials
V,Financials
WFC,Financials
WMT,Consumer
XOM,Energy
