fund,ann_return,ann_vol,sharpe,max_drawdown,avg_turnover,n_rebalances,first_oos_date
equity_equal_weight,0.1408,0.1617,0.8152,-0.2032,0.0278,36,2021-01-04
equity_min_variance,0.0491,0.1258,0.3813,-0.1509,0.2838,36,2021-01-04
equity_max_sharpe,0.1233,0.1906,0.6104,-0.2582,0.6647,36,2021-01-04
equity_risk_parity,0.1118,0.1465,0.7234,-0.1856,0.0636,36,2021-01-04
crypto_equal_weight,1.0827,0.8052,0.9121,-0.816,0.025,40,2020-09-10
crypto_min_variance,1.1478,0.6563,1.1659,-0.7457,0.2304,40,2020-09-10
crypto_max_sharpe,0.2938,0.7663,0.3362,-0.9,0.6673,40,2020-09-10
crypto_risk_parity,1.1488,0.7868,0.9732,-0.7992,0.0638,40,2020-09-10
combined_equal_weight,0.1705,0.2125,0.7412,-0.2875,0.0721,37,2020-12-31
combined_min_variance,0.0509,0.1262,0.3933,-0.1561,0.3404,37,2020-12-31
combined_max_sharpe,0.3348,0.2772,1.0423,-0.261,0.6652,37,2020-12-31
combined_risk_parity,0.1467,0.1601,0.8553,-0.1989,0.1138,37,2020-12-31
